title,positionInfo,model,area,direction,zhuangxiu,floor,create_time,floor_type,totalPrice,unitPrice
玫瑰园中式合院，花园方正，带地下室和车位,富春玫瑰园,,,,,,,,1150,"37,561"
上林湖类独栋别墅  三开间朝南 南面无遮挡  随时看房,阳光城上林湖,4室2厅,318.87平米,西南,毛坯,3层,板塔结合,双拼别墅,1200,"37,633"
上林湖地中海大别墅 花园面积很大哦，全是套房设计,阳光城上林湖,5室2厅,301.28平米,南 北,毛坯,3层,板塔结合,双拼别墅,1400,"46,469"
富春硅谷 2室1厅 东南,富春硅谷,,,,,,,,100,"20,463"
天创园 1室1厅 西北,天创园,,,,,,,,65,"12,867"
野生动物园旁，视野开阔，交通便利，业主诚心出售,施家园花苑南区,,,,,,,,200,"15,938"
阳光城西郊半岛 2室2厅 南,阳光城西郊半岛,,,,,,,,178,"20,441"
玫瑰园新上独栋别墅，大花园户型位置好，全明地下室,富春玫瑰园,4室1厅,407.68平米,南,毛坯,2层,板塔结合,独栋别墅,2200,"53,964"
杭州野生动物园旁 花园洋房精装修 次新房,阳光城悦景湾,3室2厅,127.71平米,南 北,精装,5层,板楼,联排别墅,500,"39,152"
位于野生动物园边，俯瞰整个野生动物园，loft精装修,富春硅谷,,,,,,,,80,"24,170"
6号地铁口，银湖站，2016年交付下叠，带花园地下室,麓园,,,,,,,,450,"34,817"
富春诚品北区精装 东边套 随时入住，免去装修烦恼,中天·富春诚品北区,,,,,,,,270,"25,673"
施家园花苑南区 2室2厅 南,施家园花苑南区,,,,,,,,148,"18,379"
此房满五年唯一，精装修 小区绿化好 楼层好光线好,逸城,,,,,,,,260,"20,449"
新出三期联排，位置好，私家花园，全明地下室，户型正,三江鸣翠蓝湾,4室2厅,212.58平米,东南,简装,4层,板楼,联排别墅,600,"28,225"
跃层户型，总价低，实用面积大，五房四卫,逸城,,,,,,,,280,"17,607"
万科君望大双拼 南进门南入户 花园150方集中方正,万科君望,,,,,,,,1100,"37,099"
精装修跃层，一线江景，带电梯，视野无遮挡,逸城,,,,,,,,370,"17,523"
宋都怀石雅苑新上大花园下叠排，业主因工作调动急售,宋都怀石雅苑,,,,,,,,420,"30,210"
富阳东洲新上联排中套，小区中间位置，业主急售！！！,宋都怀石雅苑,,,,,,,,520,"32,377"
富阳鹿山山水悦府中套精装修70.6方,山水悦府,,,,,,,,270,"38,244"
泰禾野风大城小院 6室2厅 南,泰禾野风大城小院,6室2厅,299.79平米,南,毛坯,1层,板楼,联排别墅,700,"23,350"
独立别墅，大花园，拎包入住，诚心出售,九龙山庄,4室2厅,305.26平米,南 北,精装,2层,板楼,独栋别墅,1800,"58,967"
大排屋三层装修带阁楼居住舒适，房东诚售,九龙仓雍景山,,,,,,,,1000,"44,108"
阳光城上林湖 3室2厅 南,阳光城上林湖,3室2厅,138.33平米,南,毛坯,5层,板塔结合,联排别墅,308,"22,266"
架空半层  视野开阔  户型正气  南北通,金宇彩虹嘉都,,,,,,,,200,"17,073"
紫云山庄 联排双拼边套 6号线科创园站就在小区门口,紫云山庄,,,,,,,,298,"27,295"
葛溪西路 2室2厅 南,葛溪西路,,,,,,,,125,"13,871"
诚售  西郊半岛  精装修    3室,阳光城西郊半岛,,,,,,,,200,"21,775"
乐汇城 复式 酒店式 层高5.49米 房东诚售 看房方便,乐汇城,,,,,,,,70,"15,470"
新登公寓，次新小区，装修新，诚心出售,富春港,,,,,,,,60,"11,877"
格局方正，楼层高，南向无遮挡，视野好采光佳.,五月香山,,,,,,,,360,"22,811"
五月香山边套电梯房 地铁口 音乐学院旁,五月香山,,,,,,,,300,"19,009"
带花园  精装修 地铁口1.2公里 房东诚售,野风秋雅,,,,,,,,235,"20,607"
富春水岸 3室2厅 南,富春水岸,,,,,,,,120,"14,610"
拎包入住 物业品质好的低总价公寓房 生活交通便利,万科大家九都会,,,,,,,,62,"21,839"
富春江花园！独栋别墅区！环境优美！,富春江花苑,,,,,,,,1500,"38,128"
中式排屋西边套，大花园，位置好，双层地下室全明户型,富春玫瑰园,4室2厅,280平米,南,毛坯,3层,板塔结合,联排别墅,1400,"50,000"
三联嘉苑 3室2厅 南,三联嘉苑,,,,,,,,170,"12,119"
大平层精装修 可拎包入住 电梯房中间楼层,三联嘉苑,,,,,,,,310,"18,934"
清风泰安苑西区 16楼  70平方  155万 满5年,清风泰安苑西区,,,,,,,,155,"22,118"
富宸嘉苑 4室2厅 南,富宸嘉苑,,,,,,,,335,"24,341"
野风精装修2房 满5次新房 诚心出售,野风春晓,,,,,,,,170,"23,536"
富阳东洲逸城精装修带地暖大三房，满5年无增值税。,逸城,,,,,,,,228,"16,593"
独栋别墅 花园600多方集中南面 视野开阔 南面无遮挡,绿城·七里香溪别墅园,5室2厅,313.54平米,南,简装,2层,塔楼,独栋别墅,2150,"68,572"
花园洋房东边套，单价低，近小区花园，满五年,逸城,,,,,,,,300,"13,732"
绿城新中式合院大宅 位置好视野开阔 落地面积大,富春玫瑰园,5室2厅,536.68平米,南,毛坯,3层,板塔结合,联排别墅,2900,"54,036"
野生动物园 6号地铁 旁 云栖玖著排屋诚售。,和昌云栖玖著,4室2厅,126.37平米,南,毛坯,3层,板楼,联排别墅,525,"41,545"
玫瑰园法式排屋，挑高餐厅，带地下室，可装电梯,富春玫瑰园,4室2厅,238.2平米,南,毛坯,3层,板塔结合,联排别墅,850,"35,685"
九龙仓雍景山 山景排屋（叠墅）东边套 花园集中朝南,九龙仓雍景山,5室2厅,123.22平米,南,毛坯,下叠(共5层),板楼,叠拼别墅,420,"34,086"
新中式合院大宅 花园500方 户型正气 位置好私密性强,富春玫瑰园,6室3厅,537.34平米,南 北,毛坯,3层,板塔结合,联排别墅,5000,"93,051"
联排西边套  采光户型好 私家花园  交通便利,和昌云栖玖著,4室2厅,167.66平米,南 北,毛坯,3层,板楼,联排别墅,760,"45,330"
美和院 和昌云栖玖著 新出 联排别墅边套 带双车位,和昌云栖玖著,5室2厅,167.68平米,南 西,简装,3层,板楼,双拼别墅,750,"44,729"
精装   带阁楼  业主诚售  近地铁,铭鹤花园,,,,,,,,206,"23,386"
绿城富春玫瑰园 中式联排 带有电梯井 双车位 环境优美,富春玫瑰园,,,,,,,,1198,"37,671"
东洲绿城玫瑰园  环境优美 排屋别墅,富春玫瑰园,,,,,,,,900,"34,861"
中式排屋 南北庭院  带地下室 位置好,九龍一號,,,,,,,,615,"19,779"
富春玫瑰园 中式联排 带有电梯井 双车位,富春玫瑰园,5室3厅,255.2平米,南,毛坯,3层,板塔结合,联排别墅,880,"34,483"
地铁野生动物园东站就在小区门口，采光充足，环境优美,和昌云栖玖著,5室2厅,167.1平米,西 南,毛坯,3层,板楼,联排别墅,725,"43,388"
地铁6号线旁 云栖玖著 排屋别墅车位两个急售,和昌云栖玖著,4室2厅,125.87平米,南,毛坯,3层,板楼,独栋别墅,580,"46,080"
虎山雅苑 次新小区 地段好 楼层好 物业管理到位！,虎山雅苑,,,,,,,,350,"21,979"
联排边套 花园300方 带装修直接拎包入住,绿城·七里香溪别墅园,4室2厅,243.26平米,西南,精装,2层,暂无数据,联排别墅,1500,"61,663"
地铁6号线旁，出小区就是，次新房联排别墅，有天有地.,和昌云栖玖著,,,,,,,,475,"37,768"
地铁口，排屋，地势佳，三大露台带花园，空气、水质优,紫云山庄,5室1厅,142.13平米,南,简装,3层,板楼,双拼别墅,320,"22,515"
安静位置 独立别墅 花园550方左右 房子总占地674方,金苑山庄,4室2厅,253.22平米,南 北,精装,2层,板塔结合,双拼别墅,1250,"49,365"
精装叠排 共三层 有大露台  房东诚售,三江鸣翠蓝湾,4室2厅,200.61平米,南 北,精装,上叠(共4层),板楼,叠拼别墅,500,"24,924"
6号线地铁口，独立别墅，上面加了一整层，有天有地,紫云山庄,10室2厅,175.48平米,南,精装,4层,板楼,独栋别墅,600,"34,192"
南北通风，快活楼层采光充足，配套齐全，交通..,浪漫香槟东区,,,,,,,,178,"19,853"
富春玫瑰园 新中式联排  双层地下室双车位,富春玫瑰园,4室3厅,255.21平米,南,毛坯,3层,板塔结合,联排别墅,860,"33,698"
五月香山 品质别墅区内*多层洋房 带电梯 交通便利,五月香山,,,,,,,,305,"21,099"
富春玫瑰园别墅，环境优美，空气清新安静,富春玫瑰园,5室2厅,302.82平米,南,毛坯,3层,板塔结合,联排别墅,1230,"40,619"
南园路，封闭式小区 ，楼层好，交通方便,春南社区,,,,,,,,253,"21,936"
富春湾新城  春江香樟苑 3室2卫,春江香樟苑,,,,,,,,163,"17,358"
云水山居东边套，房子视野看出去无遮挡,云水山居,,,,,,,,210,"18,020"
品质绿城！法式排屋！南花园，采光好！,富春玫瑰园,4室2厅,243.61平米,南,毛坯,3层,板塔结合,联排别墅,810,"33,250"
富春湾新城   春江香樟苑  3室2卫,春江香樟苑,,,,,,,,160,"16,327"
紫云山庄，地铁口，东边套带花园，大露台，5层排屋,紫云山庄,5室2厅,169平米,南,简装,3层,板楼,联排别墅,380,"22,486"
颐景山庄，多层跃层，中式精装修，有露台，车库一个,颐景山庄,,,,,,,,398,"22,115"
6号线地铁口，双拼别墅，有天有地，有花园，采光好,紫云山庄,5室2厅,169平米,南,精装,3层,板楼,联排别墅,450,"26,628"
地铁6号线旁，精装修一室一厅公寓，诚心出售,天创园,,,,,,,,69,"13,658"
一线湖景房 小区环境优 楼间距宽 配套成熟 交通便利,三江鸣翠蓝湾,3室2厅,197.65平米,南,精装,下叠(共5层),板楼,叠拼别墅,500,"25,298"
独立别墅沿湖 景观视野开阔 花园900多方 花园有产权,万安秀水山庄,5室2厅,438平米,南 北,精装,2层,板楼,独栋别墅,2800,"63,927"
类独栋双拼别墅，地势高，大花园,阳光城上林湖,6室2厅,285.78平米,南 北,毛坯,3层,板塔结合,双拼别墅,1300,"45,490"
近地铁6号线 全新精装修 6套房设计 大露、台,泰禾野风大城小院,6室2厅,299.79平米,南,精装,4层,板楼,联排别墅,800,"26,686"
精装修大面积独立别墅，大花园，视野开阔,万安秀水山庄,6室3厅,438平米,南,精装,2层,板楼,独栋别墅,2500,"57,078"
满五唯一！精装修拎包入住！蓝湾三期下叠大花园边套,三江鸣翠蓝湾,,,,,,,,488,"25,425"
房东诚心售卖，双车位，带花园，总价低。,莱蒙水榭山,4室2厅,179.61平米,南,毛坯,3层,板塔结合,联排别墅,550,"30,622"
"西边套，阳光很好,带地下室，双车库双车位",阳光城上林湖,,,,,,,,780,"36,239"
富春江边，复古中式庭院，带露台可与青山据林对话,富春玫瑰园,4室2厅,316.23平米,南,毛坯,2层,板塔结合,联排别墅,1180,"37,315"
纯别墅区 位置好 花园平整 花园有产权 居家养老之家,万安秀水山庄,5室2厅,434.46平米,南,精装,2层,板楼,独栋别墅,1910,"43,963"
大有清竹蓝庭交通出行方便的小区很大的花园精装修联排,大有清竹蓝庭,5室2厅,245.63平米,南,精装,3层,板楼,联排别墅,700,"28,499"
联排中间套，地上三层。北进门南北花园！,九龙山庄,5室2厅,253.74平米,东南,毛坯,2层,板楼,联排别墅,750,"29,558"
排屋边套 采光好 上下四层 花园集中,九龙仓雍景山,5室2厅,309.16平米,南 北,毛坯,4层,板楼,联排别墅,880,"28,465"
内独栋别墅，客厅挑空自带电梯井。有大露台！,泰禾野风大城小院,4室2厅,400.89平米,南,毛坯,4层,板楼,联排别墅,900,"22,451"
铭鹤花园  精装修  带阁楼  视野采光好,铭鹤花园,,,,,,,,245,"22,717"
联排东边套 带双露台 沿水系 地势高 视野开阔,上林湖,,,,,,,,900,"34,526"
颐景山庄，跃层一线山景，南见湖，北依山，三间朝南，,颐景山庄,,,,,,,,345,"19,632"
西湖接壤  6号线5站到转塘 出行方便,泰禾野风大城小院,4室4厅,256.99平米,南 北,精装,3层,板楼,联排别墅,900,"35,021"
富春山居精装修带地暖，花园1000方集中朝南,富春山居,5室3厅,298.67平米,南 北,精装,2层,暂无数据,独栋别墅,2200,"73,660"
玫瑰园中式现房排屋，南进门双车位，诚心出售,富春玫瑰园,4室2厅,255.21平米,南,毛坯,3层,板塔结合,联排别墅,965,"37,812"
东洲绿城富春玫瑰园新中式联排 双层地下室双车位,富春玫瑰园,4室2厅,254.3平米,南,毛坯,3层,板塔结合,联排别墅,1000,"39,324"
精装修排屋 南花园 地铁口800米  近转塘,云河福邸,4室2厅,201.89平米,南,精装,3层,板楼,联排别墅,618,"30,611"
连体别墅，有天有地，有花园，有地下室，价格可谈,云水山居,4室2厅,231.34平米,南,毛坯,4层,板楼,联排别墅,580,"25,072"
地铁口，东边套，刚装修好的，卧室多间，空间大,紫云山庄,,,,,,,,195,"30,845"
"地铁口,格局方正,位置好.视野开阔，采光充足，满5",大有清竹蓝庭,,,,,,,,650,"26,423"
地铁口，精心设计装修，带车位，带花园，房东诚心出售,五月香山,4室2厅,235.93平米,东南,精装,3层,板楼,双拼别墅,780,"33,061"
房子是中间套，户型方正，花园集中在南面,九龙仓雍景山,,,,,,,,850,"29,864"
此房为中式庭院江南水乡建筑风格小区居住环境安静舒适,九龍一號,3室2厅,298.15平米,南,精装,3层,板楼,联排别墅,760,"25,491"
富春玫瑰园法式排屋 精装修 拎包入住,富春玫瑰园,5室2厅,263.94平米,南,精装,2层,板塔结合,独栋别墅,1500,"56,832"
沿江排屋，东南亚风格联排，带全明地下室，双车位。,莱蒙水榭山,4室2厅,166.12平米,南 北,毛坯,3层,板塔结合,联排别墅,558,"33,591"
玫瑰园新上景观别墅，花园500方视野景观好，自带水系,富春玫瑰园,5室2厅,300.55平米,南,毛坯,3层,板塔结合,联排别墅,2500,"83,181"
书柜多阳台多亭榭花园精装修中式排屋,九龙山庄,5室2厅,293.83平米,南,精装,3层,板楼,联排别墅,850,"28,929"
九龙仓雍景山带电梯井联排别墅，地上4层带地下室,九龙仓雍景山,5室2厅,324.56平米,南,毛坯,4层,板楼,联排别墅,980,"30,195"
蓝湾3期联排东边套，户型方正 私密性好,三江鸣翠蓝湾,5室2厅,218.43平米,南 北,简装,4层,板楼,联排别墅,650,"29,758"
绿城中式合院东边套，景观位置，南进门户型，带地下室,富春玫瑰园,4室2厅,332.41平米,南 北,毛坯,3层,板塔结合,联排别墅,1550,"46,630"
精装修带电梯联排边套，房东装修用了500万还没有住过,九龙仓雍景山,,,,,,,,1290,"40,495"
逸城三期临水系精装联排，拎包入住，业主置换诚心急售,逸城,4室2厅,212.78平米,南 北,精装,3层,板楼,联排别墅,675,"31,723"
玫瑰园法式联排 位置好 南面视野开阔  两层全明地下室,富春玫瑰园,5室2厅,250.09平米,南,简装,3层,板塔结合,联排别墅,820,"32,789"
新法式排屋，带双车位，朝南花园，西边套,富春玫瑰园,4室2厅,221.8平米,西,毛坯,3层,板塔结合,联排别墅,850,"38,323"
万科公望四期精装别墅，大花园全南户型，地势高风景好,万科公望,5室2厅,280.05平米,南,精装,2层,板楼,独栋别墅,2220,"79,272"
水印林语  双联排边套  精装修 好房源,山水水印林语,5室3厅,322.96平米,东南,精装,3层,平房,独栋别墅,1860,"57,593"
金苑山庄独栋别墅满五年262.26方1500万,金苑山庄,4室2厅,262.26平米,北 南,精装,2层,板楼,双拼别墅,1450,"55,289"
南进门南花园 光线充足 地下室全明,阳光城上林湖,,,,,,,,660,"30,607"
富春山居，花园417房..............,富春山居,,,,,,,,2180,"71,033"
莱蒙水榭山新中式联排中套，依山傍水，环境优美，急售,莱蒙水榭山,4室2厅,233.73平米,南,毛坯,3层,板塔结合,联排别墅,660,"28,238"
玫瑰园法式排屋，带2个车位，带地下室，南花园,富春玫瑰园,4室2厅,221.59平米,南 北,毛坯,3层,板塔结合,联排别墅,810,"36,554"
排屋 全新装修 套房设计 看房方便,绿城·七里香溪别墅园,4室2厅,235.29平米,南,精装,3层,塔楼,独栋别墅,970,"41,226"
徽派建筑，中国风格浓郁，古朴隽永,九龍一號,4室2厅,396.59平米,北 南,简装,3层,板楼,联排别墅,1300,"32,780"
三江鸣翠蓝湾 3室2厅 西南,三江鸣翠蓝湾,3室2厅,197.97平米,西南,毛坯,5层,板楼,联排别墅,420,"21,216"
银湖地铁口，花园100方，180度山景，看房有钥匙,大有清竹蓝庭,4室2厅,216.54平米,东南,毛坯,4层,板楼,联排别墅,540,"24,938"
逸城三期满五联排中套，地下室，采光井都已经弄好了！,逸城,4室2厅,213.23平米,南 北,简装,3层,板楼,联排别墅,580,"27,201"
玲珑府新出中间套户型，满五年楼层好，诚售,玲珑府,,,,,,,,490,"65,763"
江南小户型总价低 户型好 楼层好,迎春南苑,,,,,,,,385,"46,662"
业主诚心出售，采光好，小区绿化不错,温兴风情苑,,,,,,,,530,"35,545"
江南飞机户型总价低 户型好 楼层好,迎春南苑,,,,,,,,565,"45,628"
户型方正，全明三房，楼层好，双地铁口刚需好房！！,阳光城上府,,,,,,,,435,"49,287"
西兴大面积户型，近天街，配套成熟,滨江西兴街道人民路9号,,,,,,,,400,"26,071"
上府，近滨江，靠天街，双地铁，精装修,阳光城上府,,,,,,,,440,"49,831"
89方3房2卫户型  解决大多数家庭人员多  一卫的困惑,中天官河锦庭,,,,,,,,528,"58,995"
迎春南苑 小户型 低总价  看房方便,迎春南苑,,,,,,,,460,"54,815"
近滨江，靠天街，双地铁，户型方正，不临路,阳光城上府,,,,,,,,500,"56,421"
房东诚心出售改善四房，全城寻找有缘人！,中天官河锦庭,,,,,,,,720,"53,279"
单价便宜 户型方正 房东诚心出售,迎春南苑,,,,,,,,510,"41,070"
房东诚心卖的，看房提前预约（有租客）,迎春南苑,,,,,,,,535,"43,111"
1.5双地铁，龙湖天街旁，生活配套齐全，出租自住都好,玲珑府,,,,,,,,148,"25,579"
北塘河边 南北双阳台全明户型 房东诚心 价格美丽,温兴风情苑,,,,,,,,495,"35,525"
西兴古镇中 次新小区 环境安逸 房东诚售！,歌山品悦府,,,,,,,,650,"50,541"
精装自住，楼栋视野好，40万精装修，收纳强,中天官河锦庭,,,,,,,,545,"60,698"
跃层的房子  近地铁 近天街  纯毛坯,温兴风情苑,,,,,,,,570,"38,631"
户型方正，采光通透，中间楼层，刚需好房，配套齐全,官河路44号,,,,,,,,240,"36,200"
滨康双地铁口，滨江西兴次新小区，上学方便,瑞立东方花城,,,,,,,,460,"51,328"
1号线和5号线滨康路双地铁口，滨江品质，户型方正,时代滨江悦,,,,,,,,970,"69,530"
1号线和5号线滨康路双地铁口，滨江品质，户型方正。,时代滨江悦,,,,,,,,760,"59,454"
满五唯一，近地铁西边套，570万带车位,燕语林森公寓,,,,,,,,550,"40,920"
满五，夹边套，采光通透舒适......,燕语林森公寓,,,,,,,,556,"43,839"
诚心出售，满五不唯一，自住精装修，看房方便,云厦连园,,,,,,,,615,"44,283"
小区唯一多层带电梯 户型方正 精装修,温兴风情苑,,,,,,,,565,"38,017"
刚需大三房，满五单价低!!!!!!!,官河公寓,,,,,,,,370,"30,099"
大面积居住舒服，户型方正好房优选！,铁岭花园,,,,,,,,380,"36,413"
此房满五年，户型方正，精装修保养好，居住舒服,云厦连园,,,,,,,,650,"46,803"
风情苑，居住气氛好，电梯房靠北塘河，总价低，诚售！,温兴风情苑,,,,,,,,360,"38,706"
滨江一步之遥 地铁1号5号就在楼下 景区排屋别墅,阳光城上府,5室3厅,232.19平米,南,毛坯,3层,板楼,联排别墅,1750,"75,370"
兴耀鑫都汇 精装LOFT带阳台 挑空客厅,兴耀鑫都汇,,,,,,,,139,"33,567"
双地铁口 活配套齐全 交通便利 居住舒适 精装loft,玲珑府,,,,,,,,115,"25,143"
万科金辰之光 4室2厅 西,万科金辰之光,,,,,,,,530,"59,464"
附带大露台，得房率很高，现代风格装修，品牌家电。,温兴风情苑,,,,,,,,508,"38,294"
地铁口1号线西兴站，满五年，自住精装，装修很舒适,云厦连园,,,,,,,,430,"49,026"
方正格局，读书一街之隔，近天街近地铁 交通便利,官河公寓,,,,,,,,250,"29,937"
江南大户型总价低 房东底价耍卖,迎春南苑,,,,,,,,450,"32,440"
大面积户型，居住舒服，户型方正。,温兴风情苑,,,,,,,,500,"34,958"
此房满五年唯一，业主诚心出售，采光好，小区绿化不错,温兴风情苑,,,,,,,,568,"35,749"
夹边套户型，视野好，无遮挡，精装修,云厦连园,,,,,,,,435,"49,203"
楼层好视野开阔，通透，三开间朝南,中天官河锦庭,,,,,,,,550,"61,255"
自住精装修，带车位、双地铁、次新小区、诚心卖,阳光城上府,,,,,,,,450,"50,779"
满五年 交通方便，校园门口，地铁边购物旁,官河公寓,,,,,,,,340,"30,502"
1号线和5号线滨康路双地铁口，滨江品质，户型方正。,时代滨江悦,,,,,,,,930,"66,662"
水晶湾城市雅苑，跃层，带*大露台,水晶湾城市雅苑,,,,,,,,600,"40,000"
满五年的诚心卖，低总价的三房。,人民路10号,,,,,,,,270,"33,113"
西兴古镇 连园夹边套户型 双阳台 精装修 采光好无遮挡,云厦连园,,,,,,,,370,"41,974"
精装Loft，拎包入住，诚心出售，交通方便,海威新界,,,,,,,,190,"45,663"
满五年 高楼层 南北通 视野好 诚心出售,欣盛东方郡西区,,,,,,,,600,"66,913"
寰宇天下精装修边套户型，三阳台，南北通风，房东诚售,寰宇天下,,,,,,,,630,"70,071"
江滨澜廷 高楼层 可看江景 精装可拎包入住,江滨澜廷,,,,,,,,200,"34,735"
loft结构，精装修带阳台，民用电。,中赢康康谷,,,,,,,,136,"29,773"
4.79米层高，精装Loft，拎包入住，诚心出售，随时看房,海威新界,,,,,,,,240,"53,704"
此房户型方正  精装修保养的好 拎包入住 视野好,风雅钱塘,,,,,,,,670,"65,945"
江滨澜庭17年交付精装公寓，大厅6m挑高十分气派,江滨澜廷,,,,,,,,230,"37,942"
连园东边套户型，中楼层采光好  。,云厦连园,,,,,,,,440,"50,035"
此房视野开阔，楼层好，采光好，户型方正。,固陵路,,,,,,,,260,"38,651"
西兴四房 近读书近天街近交通 风情大道和地铁无缝对接,温兴风情苑,,,,,,,,550,"36,436"
一五号线双地铁，精装修交付，次新小区，高楼层视野好,阳光城上府,,,,,,,,650,"49,977"
滨康龙湖天街旁、双轨道交通、万科品质精装三房！,万科金辰之光,,,,,,,,375,"42,393"
边套户型，满5年。小区安静位置,迎春南苑,,,,,,,,440,"42,150"
万科精装住宅，户型方正，三房两厅全明户型,万科金辰之光,,,,,,,,421,"47,214"
玲珑次新小区，天街旁交通旁，大三房出租装修,玲珑府,,,,,,,,490,"65,763"
大两房  总价低 电梯房楼层好 视野开阔,迎春南苑,,,,,,,,420,"51,083"
天街旁，户型方正。三开间朝南，得房率高,玲珑府,,,,,,,,470,"63,859"
滨江西兴 满五年 1/5号线 双地铁,燕语林森公寓,,,,,,,,510,"40,123"
此房无增值税 近地铁 纯边套 户型方正 带车位,温兴风情苑,,,,,,,,540,"33,965"
纯边套 万科精装四房  看房方便 诚心出售,万科金辰之光,,,,,,,,480,"53,854"
3房2卫全明户型，楼幢位置好，楼层好，精装修,万科金辰之光,,,,,,,,440,"49,740"
近地铁，出行便利，沿河景观，中高楼层，视野开阔,云厦连园,,,,,,,,620,"44,643"
双地铁500米内 边套户型四房 满五年无个税 采光足,玲珑府,,,,,,,,580,"72,365"
业主诚心出售    中间楼层    没有车位,瑞立东方花城,,,,,,,,500,"57,844"
双地铁口 精装修三房 诚心出售,阳光城上府,,,,,,,,400,"44,859"
此房精装修近地铁楼层好采光不遮挡小区环境好有天街,阳光城上府,,,,,,,,450,"50,466"
